gene,gene_name,gene_type,Log2 IP / Input Fold Change,ip_rpkm,input_rpkm
ENSG00000218358.2,RAET1K,pseudogene,0.20569111657634792,1.14084954708,0.989257105613
ENSG00000266210.1,RN7SL371P,misc_RNA,,0.0,0.0
ENSG00000264091.1,AP002495.1,miRNA,,0.0,0.0
ENSG00000238921.2,AL360178.1,miRNA,,0.0,0.0
ENSG00000269349.1,CTD-3099C6.5,antisense,,0.0,0.0
ENSG00000236998.2,RP11-203L2.3,pseudogene,inf,0.385960268448,0.0
ENSG00000187522.9,HSPA14,protein_coding,-0.670518469755891,15.2323217124,24.244446612199997
ENSG00000246526.2,RP11-539L10.2,processed_transcript,inf,0.264525031367,0.0
ENSG00000233614.5,DDX11L10,pseudogene,,0.0,0.0
ENSG00000259659.1,RP11-151N17.1,sense_intronic,-inf,0.0,0.7841116292579999
ENSG00000236226.1,RP11-645N11.3,antisense,,0.0,0.0
ENSG00000174442.7,ZWILCH,protein_coding,-0.6171117531967236,15.336188225,23.5226679747
ENSG00000120662.11,MTRF1,protein_coding,-1.6411213051315552,1.9204956191099998,5.99018258495
ENSG00000235523.1,RP11-63P12.7,lincRNA,,0.0,0.0
ENSG00000249848.1,RP11-212F11.1,pseudogene,,0.0,0.0
ENSG00000022567.5,SLC45A4,protein_coding,1.7819695118609373,1.0888960897700002,0.31663590761599997
ENSG00000230225.1,MTND5P14,pseudogene,,0.0,0.0
ENSG00000125744.7,RTN2,protein_coding,inf,0.0744898534755,0.0
ENSG00000201398.1,U8,snoRNA,,0.0,0.0
ENSG00000215386.6,LINC00478,lincRNA,-4.02828478038247,0.0438463251311,0.7154309925489999
ENSG00000164647.4,STEAP1,protein_coding,-2.48307811087568,1.63074532319,9.11731867081
ENSG00000225630.1,MTND2P28,pseudogene,0.04764636175561192,52.102046184799995,50.4094310134
ENSG00000230231.1,FMO7P,pseudogene,,0.0,0.0
ENSG00000231880.1,KBTBD4,protein_coding,,0.0,0.0
ENSG00000227489.1,AC006458.3,lincRNA,,0.0,0.0
ENSG00000226688.2,ENTPD1-AS1,processed_transcript,0.5453332405362867,1.47399572362,1.01003066766
ENSG00000013392.5,RWDD2A,protein_coding,0.06597103646137477,3.9826625343699997,3.80464594174
ENSG00000258279.1,LINC00592,processed_transcript,,0.0,0.0
ENSG00000250929.2,KB-1639H6.4,antisense,,0.0,0.0
ENSG00000204581.2,AC096670.3,antisense,,0.0,0.0
ENSG00000225620.1,RP11-569A11.2,lincRNA,,0.0,0.0
ENSG00000232638.1,RP11-379F12.4,lincRNA,,0.0,0.0
ENSG00000225488.1,RP11-760D2.1,lincRNA,-inf,0.0,0.253580061123
ENSG00000237786.1,GFOD1-AS1,antisense,,0.0,0.0
ENSG00000186844.3,LCE1A,protein_coding,,0.0,0.0
ENSG00000184178.11,SCFD2,protein_coding,2.192962216330804,13.8902443659,3.03782309649
ENSG00000230039.1,RP11-314A15.2,pseudogene,-1.308424493724494,0.483809350589,1.19825507596
ENSG00000163563.7,MNDA,protein_coding,,0.0,0.0
ENSG00000244661.1,TRBV12-1,TR_V_pseudogene,,0.0,0.0
ENSG00000069399.8,BCL3,protein_coding,inf,0.0743976630628,0.0
ENSG00000256014.1,AL031390.1,pseudogene,,0.0,0.0
ENSG00000164182.6,NDUFAF2,protein_coding,-2.072912292806835,5.01794255834,21.1122472834
ENSG00000232879.2,RP11-544M22.3,pseudogene,,0.0,0.0
ENSG00000173566.9,NUDT18,protein_coding,2.0838929284718315,0.41079711905199995,0.0968976199865
ENSG00000231997.1,FAM27D1,protein_coding,2.083892928470072,0.294914039679,0.0695634589928
ENSG00000153015.11,CWC27,protein_coding,-1.2577469936339052,4.98201999838,11.913106891500002
ENSG00000214866.3,DCDC2C,protein_coding,,0.0,0.0
ENSG00000261949.1,CTD-3148I10.1,protein_coding,,0.0,0.0
ENSG00000260092.1,RP11-77K12.7,protein_coding,1.6915755072087126,0.25924878411999996,0.0802604814606
ENSG00000207559.1,MIR578,miRNA,,0.0,0.0
ENSG00000254578.1,CTD-2517M22.16,antisense,inf,0.43923543952,0.0
ENSG00000240710.1,RP11-430C7.4,antisense,,0.0,0.0
ENSG00000268889.1,CTD-2616J11.14,lincRNA,-inf,0.0,0.305479749904
ENSG00000229827.1,AC093899.3,pseudogene,,0.0,0.0
ENSG00000268234.1,AL162415.2,pseudogene,3.37863619403577,33.2407196298,3.19594707253
ENSG00000225215.1,SMARCE1P1,pseudogene,-1.8229976788198907,0.811656530778,2.87176746385
ENSG00000036448.5,MYOM2,protein_coding,3.225473814746399,7.05766172617,0.754564675871
ENSG00000257246.1,RP11-416A17.6,pseudogene,inf,5.10923234454,0.0
ENSG00000250210.3,RP11-585F1.10,protein_coding,-0.5010695735924788,0.636119701108,0.90027630082
ENSG00000185269.7,NOTUM,protein_coding,,0.0,0.0
ENSG00000089116.2,LHX5,protein_coding,,0.0,0.0
ENSG00000267552.2,ZNF607,protein_coding,0.08964572877310104,10.800582225,10.1498848262
ENSG00000224695.1,MTND6P7,pseudogene,,0.0,0.0
ENSG00000255189.1,GLYATL1P1,pseudogene,,0.0,0.0
ENSG00000164114.14,MAP9,protein_coding,-2.303326996173407,1.4118432872600002,6.968784085610001
ENSG00000231699.1,AC020550.7,pseudogene,-inf,0.0,1.05032240475
ENSG00000251710.1,AC010295.1,miRNA,,0.0,0.0
ENSG00000210184.1,MT-TS2,Mt_tRNA,inf,16.582982553,0.0
ENSG00000179632.5,MAF1,protein_coding,4.284356657606042,6.938332079330001,0.35606986175800004
ENSG00000224570.1,RP11-430H12.2,pseudogene,inf,0.133957240929,0.0
ENSG00000114861.14,FOXP1,protein_coding,0.57424464868909,3.3573367274,2.25491428202
ENSG00000268397.1,AC008443.1,protein_coding,-0.1929472731370534,1.68239625158,1.9231413632900003
ENSG00000243073.3,PRAMEF4,protein_coding,,0.0,0.0
ENSG00000152942.14,RAD17,protein_coding,-1.015669365051344,5.794829045519999,11.716221479200001
ENSG00000162290.11,DCP1A,processed_transcript,0.492476642614733,9.1830678624,6.52735979535
ENSG00000133134.7,BEX2,protein_coding,-1.5633538648940377,3.4848296661800005,10.2990688724
ENSG00000100968.9,NFATC4,protein_coding,3.3062853605594698,0.7992273242199999,0.0807940270718
ENSG00000224560.3,RP11-270L13.1,pseudogene,,0.0,0.0
ENSG00000257464.1,RP11-161H23.8,pseudogene,,0.0,0.0
ENSG00000227233.1,CTD-2021A8.1,pseudogene,,0.0,0.0
ENSG00000085721.8,RRN3,protein_coding,0.3119466182769117,33.8497047029,27.2677683097
ENSG00000136169.12,SETDB2,protein_coding,-0.5130557079613562,2.5420831642099997,3.6277296278500004
ENSG00000121644.14,DESI2,protein_coding,-0.47188617079707806,28.6588179975,39.7475318817
ENSG00000138495.2,COX17,protein_coding,-2.054015584284568,1.00049895317,4.15467389308
ENSG00000050393.6,MCUR1,protein_coding,-0.6721749240375364,4.473878000219999,7.12900552773
ENSG00000135903.14,PAX3,protein_coding,1.2300940986486972,3.1938663756800003,1.3615121493200002
ENSG00000253309.2,SERPINE3,protein_coding,,0.0,0.0
ENSG00000251286.2,RP11-588F10.1,pseudogene,,0.0,0.0
ENSG00000239344.1,RP11-771F20.1,pseudogene,0.13028583043514932,25.3954636044,23.202575925700003
ENSG00000101323.4,HAO1,protein_coding,-inf,0.0,0.0961855404259
ENSG00000111863.7,ADTRP,protein_coding,-inf,0.0,0.014747040521799998
ENSG00000263711.1,RP11-169F17.1,protein_coding,,0.0,0.0
ENSG00000262662.1,CTD-2561B21.3,antisense,,0.0,0.0
ENSG00000254988.1,CTD-2547H18.1,antisense,,0.0,0.0
ENSG00000103037.7,SETD6,protein_coding,0.2082880380283812,11.9344073253,10.3299901925
ENSG00000127564.12,PKMYT1,protein_coding,2.2260062518668504,1.26883475293,0.271212943991
ENSG00000123444.9,KBTBD4,protein_coding,2.768392193476927,9.47652483387,1.39084910391
ENSG00000266135.1,RN7SL625P,misc_RNA,,0.0,0.0
ENSG00000226086.5,EIF3LP3,pseudogene,2.6688554185045925,44.810410456499994,7.04649887523
ENSG00000230027.1,RP11-550H2.2,lincRNA,,0.0,0.0
ENSG00000176973.7,FAM89B,protein_coding,2.498930443200928,0.660585850533,0.11686278894000002
ENSG00000252189.1,U3,snoRNA,,0.0,0.0
ENSG00000255521.1,RP4-607I7.1,antisense,-inf,0.0,0.14050554997
ENSG00000211682.2,IGLJ6,IG_J_gene,,0.0,0.0
ENSG00000231630.1,RP11-740P5.3,lincRNA,,0.0,0.0
ENSG00000179262.4,RAD23A,protein_coding,1.9109918557916425,15.454951876800001,4.10962114284
ENSG00000249514.1,CTD-2266L18.1,pseudogene,,0.0,0.0
ENSG00000231827.2,RP11-216N14.5,pseudogene,,0.0,0.0
ENSG00000159479.12,MED8,protein_coding,0.9849096483085743,14.5923561157,7.372895400389999
ENSG00000112511.13,PHF1,protein_coding,1.2787097902166367,1.60114989544,0.659936256242
ENSG00000211950.2,IGHV1-24,IG_V_gene,,0.0,0.0
ENSG00000111669.9,TPI1,protein_coding,2.3107142691476112,123.716566795,24.936388367
ENSG00000231062.1,AC103563.9,antisense,,0.0,0.0
ENSG00000259221.1,CTD-2050N2.1,antisense,,0.0,0.0
ENSG00000159915.8,ZNF233,protein_coding,-0.4056294367737463,2.21396852188,2.93277043393
ENSG00000178297.8,TMPRSS9,protein_coding,,0.0,0.0
ENSG00000143248.7,RGS5,protein_coding,-1.7479196534633163,0.45990420249700004,1.54469814061
ENSG00000253946.1,CTC-425K20.1,pseudogene,,0.0,0.0
ENSG00000234336.2,JAZF1-AS1,antisense,,0.0,0.0
ENSG00000144504.11,ANKMY1,protein_coding,2.584694981707081,0.35639805978600003,0.0594106921373
ENSG00000164116.12,GUCY1A3,protein_coding,0.3210422621289015,3.94147460434,3.1551163696599995
ENSG00000259677.1,RP11-493E3.1,pseudogene,,0.0,0.0
ENSG00000138669.5,PRKG2,protein_coding,-1.0730517544951141,0.38678806515,0.813755299525
ENSG00000142507.5,PSMB6,protein_coding,1.0032064322252465,15.502581823,7.73408256923
ENSG00000174013.7,FBXO45,protein_coding,-0.3382214629588558,7.68902903252,9.720448557989998
ENSG00000170419.6,VSTM2A,protein_coding,inf,0.121053824795,0.0
ENSG00000240889.1,NDUFB2-AS1,antisense,-inf,0.0,0.103373159597
ENSG00000227863.2,AC002383.2,lincRNA,,0.0,0.0
ENSG00000251332.1,RP11-177C12.4,pseudogene,,0.0,0.0
ENSG00000259235.1,RP11-605F22.2,lincRNA,,0.0,0.0
ENSG00000258507.1,RP13-582L3.4,sense_intronic,,0.0,0.0
ENSG00000244019.1,RPS2P24,pseudogene,inf,0.27670108978,0.0
ENSG00000250385.1,RP11-310P5.2,antisense,,0.0,0.0
ENSG00000266512.1,AC008166.1,miRNA,,0.0,0.0
ENSG00000243911.2,RN7SL430P,misc_RNA,,0.0,0.0
ENSG00000227987.1,AC092675.4,sense_intronic,,0.0,0.0
ENSG00000106069.14,CHN2,protein_coding,1.241421509556447,1.08850304624,0.46038857446599996
ENSG00000227851.1,RP11-381K7.1,lincRNA,,0.0,0.0
ENSG00000225715.1,RP11-325E14.5,pseudogene,-0.2895654711565647,3.4041000221399997,4.16073642525
ENSG00000254768.1,CTD-2140G10.2,antisense,,0.0,0.0
ENSG00000176928.4,GCNT4,protein_coding,-0.7234619929455783,0.210002836085,0.346743972584
ENSG00000233714.1,AC012506.2,lincRNA,,0.0,0.0
ENSG00000253049.1,SNORA43,snoRNA,,0.0,0.0
ENSG00000240250.2,RN7SL541P,misc_RNA,,0.0,0.0
ENSG00000101158.8,NELFCD,protein_coding,2.203786808453931,22.678701391599997,4.922800650809999
ENSG00000129455.11,KLK8,protein_coding,,0.0,0.0
ENSG00000216902.3,RP1-161C16.1,pseudogene,,0.0,0.0
ENSG00000265875.1,AC011357.1,miRNA,,0.0,0.0
ENSG00000005893.11,LAMP2,protein_coding,-0.9179564201929652,14.2854579945,26.991472989499997
ENSG00000150773.6,PIH1D2,protein_coding,-0.8550017638835955,1.06423076423,1.9249390657599998
ENSG00000143033.13,MTF2,protein_coding,-0.47871615449443056,12.1744115421,16.9650795498
ENSG00000256150.1,RP11-885B4.1,lincRNA,,0.0,0.0
ENSG00000257941.1,RP11-290L1.4,pseudogene,-0.8784483418813986,4.1673006392500005,7.6611529564100005
ENSG00000106410.10,NOBOX,protein_coding,,0.0,0.0
ENSG00000033030.9,ZCCHC8,protein_coding,-0.06519236906496426,4.603613541930001,4.81641297289
ENSG00000141255.8,SPATA22,protein_coding,0.49893042775259894,0.08442880864430001,0.059744459514199995
ENSG00000161896.6,IP6K3,protein_coding,,0.0,0.0
ENSG00000251249.1,RP11-73G16.1,processed_transcript,,0.0,0.0
ENSG00000267083.1,AC079005.2,pseudogene,inf,1.29774304517,0.0
ENSG00000259847.1,RP11-95H3.1,lincRNA,,0.0,0.0
ENSG00000267880.1,AC037199.1,protein_coding,,0.0,0.0
ENSG00000268140.1,PCGF7P,pseudogene,-1.5010695779391923,4.80906495189,13.612177742
ENSG00000231219.1,RP11-219C24.8,pseudogene,,0.0,0.0
ENSG00000250006.2,CTB-179I1.1,pseudogene,,0.0,0.0
ENSG00000236313.1,VN1R53P,pseudogene,,0.0,0.0
ENSG00000269774.1,AC005399.1,pseudogene,,0.0,0.0
ENSG00000245667.2,RP5-940J5.8,antisense,,0.0,0.0
ENSG00000258630.1,RP11-725G5.2,lincRNA,,0.0,0.0
ENSG00000203818.6,HIST2H3PS2,pseudogene,,0.0,0.0
ENSG00000258517.1,RP6-91H8.1,lincRNA,,0.0,0.0
ENSG00000166986.8,MARS,protein_coding,3.1985435850857438,63.3543083343,6.90110431872
ENSG00000202050.1,U6,snRNA,,0.0,0.0
ENSG00000259799.1,RP11-554A11.9,antisense,,0.0,0.0
ENSG00000150316.7,CWC15,processed_transcript,-1.3479974284072807,5.6189918587,14.3036232621
ENSG00000253046.1,AC092841.1,miRNA,,0.0,0.0
ENSG00000174132.8,FAM174A,protein_coding,-0.2713939569462303,6.44693290717,7.78127693763
ENSG00000231952.3,AC018648.5,pseudogene,-0.4954069025704392,11.2317559923,15.8336119722
ENSG00000168404.8,MLKL,protein_coding,0.16711459859605934,1.30822069675,1.16513033274
ENSG00000196748.5,CLPSL2,protein_coding,,0.0,0.0
ENSG00000160229.7,ZNF66,protein_coding,0.01550594571566467,2.07860048224,2.0563795151099997
ENSG00000111641.6,NOP2,protein_coding,3.253124821987843,35.6898523317,3.74331694324
ENSG00000235653.1,AC007253.1,pseudogene,,0.0,0.0
ENSG00000203780.6,FANK1,protein_coding,1.6756339882848788,0.339322029604,0.106217472704
ENSG00000211978.2,IGHV5-78,IG_V_pseudogene,,0.0,0.0
ENSG00000132874.9,SLC14A2,protein_coding,,0.0,0.0
ENSG00000262519.1,RP11-141J13.4,pseudogene,-1.6908941298091933,24.901307178099998,80.3955477098
ENSG00000221923.4,ZNF880,protein_coding,-1.0882794242224478,0.7123581339210001,1.5146180843000001
ENSG00000109805.5,NCAPG,protein_coding,-0.16497379933020265,33.6645156803,37.7428275633
ENSG00000127329.10,PTPRB,protein_coding,1.877459787361172,1.0598807235299998,0.288459789258
ENSG00000239893.1,ZNF736P9Y,pseudogene,,0.0,0.0
ENSG00000270720.1,RP11-84C13.2,lincRNA,,0.0,0.0
ENSG00000262358.1,CTD-3195I5.4,antisense,,0.0,0.0
ENSG00000250594.2,RP11-433B3.1,pseudogene,,0.0,0.0
ENSG00000271148.1,RP11-401N18.1,lincRNA,,0.0,0.0
ENSG00000144199.7,FAHD2B,protein_coding,2.2211158919086453,4.72822629978,1.01408824147
ENSG00000143183.12,TMCO1,protein_coding,-1.4293354888483127,14.0775979353,37.9141578037
ENSG00000248315.1,RP11-3N2.11,pseudogene,,0.0,0.0
ENSG00000229941.1,AC012499.1,antisense,,0.0,0.0
ENSG00000125522.3,NPBWR2,protein_coding,,0.0,0.0
ENSG00000108774.10,RAB5C,protein_coding,1.08061516940005,6.595036995090001,3.11831264863
ENSG00000212475.1,U6,snRNA,,0.0,0.0
ENSG00000212025.2,AC011748.1,miRNA,,0.0,0.0
ENSG00000228318.1,AP001610.5,antisense,,0.0,0.0
ENSG00000189002.9,PROSP,pseudogene,0.7668060876272644,1.48219504127,0.871111451113
ENSG00000235944.3,ZNF815P,pseudogene,1.0216557957612804,0.625062421517,0.307874947169
ENSG00000222129.1,RNA5SP36,rRNA,,0.0,0.0
ENSG00000166126.6,AMN,protein_coding,-inf,0.0,0.0367261430383
ENSG00000231302.1,RPL36P2,pseudogene,,0.0,0.0
ENSG00000268442.1,HAVCR1P1,pseudogene,,0.0,0.0
ENSG00000244031.3,RP11-174E22.1,pseudogene,,0.0,0.0
ENSG00000268957.1,SIGLEC25P,pseudogene,,0.0,0.0
ENSG00000231392.1,LL22NC03-24A12.8,pseudogene,,0.0,0.0
ENSG00000223315.1,RN7SKP279,misc_RNA,,0.0,0.0
ENSG00000227879.2,PSPC1P1,pseudogene,1.525052007458973,25.2841702383,8.78541551235
ENSG00000117139.12,KDM5B,protein_coding,1.8792358894495038,43.046697504799994,11.7012825627
ENSG00000198231.7,DDX42,protein_coding,1.2711810805571964,26.6382032956,11.0367522528
ENSG00000254312.1,MRP63P7,pseudogene,,0.0,0.0
ENSG00000259981.1,AF096876.1,lincRNA,,0.0,0.0
ENSG00000205220.7,PSMB10,protein_coding,inf,0.130115393651,0.0
ENSG00000200208.1,Y_RNA,misc_RNA,,0.0,0.0
ENSG00000268434.1,AC011530.4,protein_coding,2.8899573984064686,1.47860596637,0.199475053943
ENSG00000001460.13,STPG1,protein_coding,0.0047260380160776185,1.1022038879,1.09859915189
ENSG00000198018.6,ENTPD7,protein_coding,1.4767645267741711,21.765038707800002,7.82004090499
ENSG00000117360.8,PRPF3,protein_coding,0.9143189496337594,16.2264743971,8.60967463324
ENSG00000221190.1,MIR1184-2,miRNA,,0.0,0.0
ENSG00000234479.2,AP1B1P1,pseudogene,,0.0,0.0
ENSG00000218476.2,RP11-108N13.1,pseudogene,,0.0,0.0
ENSG00000107625.8,DDX50,protein_coding,-0.5918884960119193,26.2258850371,39.5281368551
ENSG00000101888.7,NXT2,protein_coding,-3.666900788282528,0.39328303449100005,4.99519377934
ENSG00000234206.1,RP1-67A8.3,antisense,,0.0,0.0
ENSG00000080031.5,PTPRH,protein_coding,2.083892928475316,0.16686554269200002,0.039359754961
ENSG00000268947.1,AD000684.2,sense_intronic,-1.0860320738671159,0.237133379703,0.503408937285
ENSG00000231982.1,RP11-573D15.1,pseudogene,,0.0,0.0
ENSG00000253833.1,RP11-367E12.4,pseudogene,-2.086032085510821,0.616546787228,2.61772649501
ENSG00000258509.1,RP11-857B24.3,pseudogene,-inf,0.0,2.2169670748400003
ENSG00000212336.1,RNA5SP210,rRNA,,0.0,0.0
ENSG00000250420.4,AACSP1,pseudogene,,0.0,0.0
ENSG00000236764.4,COX7A2P2,pseudogene,-2.1333377946830474,4.82837845419,21.1836099074
ENSG00000106125.14,FAM188B,protein_coding,2.4326001219735023,2.25192157158,0.417126380472
ENSG00000227097.4,RP11-742N3.1,pseudogene,-1.7027034065458726,3.2232339583,10.4919600675
ENSG00000076984.13,MAP2K7,protein_coding,1.7794687651005838,1.24601452802,0.362952365662
ENSG00000234595.1,AC013733.3,antisense,,0.0,0.0
ENSG00000206799.1,SNORA32,snoRNA,-inf,0.0,1.41793517247
ENSG00000218018.2,RP4-800J21.3,antisense,,0.0,0.0
ENSG00000130589.11,HELZ2,protein_coding,inf,0.15967676409499998,0.0
ENSG00000105053.6,VRK3,protein_coding,2.1896483314398343,3.03228869326,0.664692408692
ENSG00000231283.1,RP11-472D17.6,pseudogene,,0.0,0.0
ENSG00000125843.6,AP5S1,protein_coding,2.34692734759071,2.22527428596,0.437409307703
ENSG00000234238.1,RP11-430L16.1,lincRNA,,0.0,0.0
ENSG00000233508.1,RP1-269M15.3,antisense,,0.0,0.0
ENSG00000243664.1,RPS29P12,pseudogene,,0.0,0.0
ENSG00000235976.2,RP1-197J16.1,pseudogene,,0.0,0.0
ENSG00000267717.1,SRSF10P1,pseudogene,-0.5010695641887712,0.315555458739,0.446593775905
ENSG00000232002.1,AC093642.6,lincRNA,,0.0,0.0
ENSG00000221539.1,SNORD99,snoRNA,-1.501069568888166,3.29388009615,9.323409331519999
ENSG00000254920.1,RP11-56P9.6,pseudogene,,0.0,0.0
ENSG00000231378.1,NDUFAF4P4,pseudogene,-inf,0.0,1.35850076594
